,price,type,address,url,agent_url,postcode,number_bedrooms,search_date
0,90000.0,3 bedroom terraced house for sale,"Dorothy Terrace, Sacriston, County Durham, DH7",http://www.rightmove.co.uk/properties/120207362#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/J-W-Wood/Chester-Le-Street-36057.html,DH7,3.0,2022-02-19 23:43:34.882786
1,,6 bedroom detached house for sale,"Flass Vale Hall, Crossgate Moor, Durham",http://www.rightmove.co.uk/properties/96987176#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Finest-Properties/Corbridge-56415.html,,6.0,2022-02-19 23:43:34.882786
2,,6 bedroom detached house for sale,"Flass Vale Hall, Crossgate Moor, Durham",http://www.rightmove.co.uk/properties/84542365#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Strutt-and-Parker/Morpeth-44255.html,,6.0,2022-02-19 23:43:34.882786
3,2000000.0,5 bedroom character property for sale,"Durham House, Durham, DH1",http://www.rightmove.co.uk/properties/106243433#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Durham-202895.html,DH1,5.0,2022-02-19 23:43:34.882786
4,1420000.0,6 bedroom detached house for sale,"Oakland House, West Rainton, Houghton le Spring, Tyne and Wear",http://www.rightmove.co.uk/properties/120058706#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Urban-Base-Executive/North-East-15013.html,,6.0,2022-02-19 23:43:34.882786
5,1095000.0,11 bedroom terraced house for sale,"Old Elvet, Durham City",http://www.rightmove.co.uk/properties/117218300#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Venture-Properties/Durham-111821.html,,11.0,2022-02-19 23:43:34.882786
6,995000.0,6 bedroom detached house for sale,"Beckwood, Potters Bank, Durham, DH1",http://www.rightmove.co.uk/properties/119992817#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Bradley-Hall-Chartered-Surveyors-and-Estate-Agents/Durham-45311.html,DH1,6.0,2022-02-19 23:43:34.882786
7,895000.0,4 bedroom detached house for sale,"Aykley Heads, Durham, DH1",http://www.rightmove.co.uk/properties/119941592#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/YOUR-MOVE-Chris-Stonock/Durham-83353.html,DH1,4.0,2022-02-19 23:43:34.882786
8,875000.0,Land for sale,"Hilltop Stables, Hill Top, Esh, Durham",http://www.rightmove.co.uk/properties/112558985#/?channel=COM_BUY,http://www.rightmove.co.uk/estate-agents/agent/HandH-Land-and-Estates/Penrith-149141.html,,,2022-02-19 23:43:34.882786
9,795000.0,3 bedroom detached house for sale,"Luxury Gate House, Crossgate Moor, Durham City",http://www.rightmove.co.uk/properties/117270101#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Urban-Base-Executive/North-East-15013.html,,3.0,2022-02-19 23:43:34.882786
